"ID","ESCALE_DEPART","ESCALE_DESTINATION","CODE","DATE_CREATED"
"2235549","HAN","ABJ","HANABJ","current_timestamp"
"2235550","ADB","CKY","ADBCKY","current_timestamp"
"2235551","CMN","OUD","CMNOUD","current_timestamp"
"2235552","FCO","VIL","FCOVIL","current_timestamp"
"2235553","KWI","COO","KWICOO","current_timestamp"
"2235554","LHR","ALG","LHRALG","current_timestamp"
"2235555","CHS","COO","CHSCOO","current_timestamp"
"2235556","CKY","CAS","CKYCAS","current_timestamp"
"2235557","NKC","BTU","NKCBTU","current_timestamp"
"2235558","JUB","BOM","JUBBOM","current_timestamp"
"2235559","YQB","ORY","YQBORY","current_timestamp"
"2235560","KUL","NDJ","KULNDJ","current_timestamp"
"2235561","TUS","NIM","TUSNIM","current_timestamp"
"2235562","AAQ","NKC","AAQNKC","current_timestamp"
"2235563","BJL","FCO","BJLFCO","current_timestamp"
"2235564","SIN","CMN","SINCMN","current_timestamp"
"2235565","MIA","LOS","MIALOS","current_timestamp"
"2235566","MCO","CDG","MCOCDG","current_timestamp"
"2235567","SAW","TLS","SAWTLS","current_timestamp"
"2235568","BJL","CHS","BJLCHS","current_timestamp"
"2235569","ERH","GVA","ERHGVA","current_timestamp"
"2235570","TBS","DOH","TBSDOH","current_timestamp"
"2235571","LEI","AGA","LEIAGA","current_timestamp"
"2235572","TFS","OUA","TFSOUA","current_timestamp"
"2235573","CKY","PAR","CKYPAR","current_timestamp"
"2235574","POS","ACC","POSACC","current_timestamp"
"2235575","ARN","BKO","ARNBKO","current_timestamp"
"2235576","DKR","JFK","DKRJFK","current_timestamp"
"2235577","RAK","TAS","RAKTAS","current_timestamp"
"2235578","DSS","KIN","DSSKIN","current_timestamp"
"2235579","RAI","KIN","RAIKIN","current_timestamp"
"2235580","ACC","ROC","ACCROC","current_timestamp"
"2235581","ADA","FNA","ADAFNA","current_timestamp"
"2235582","CPH","OUA","CPHOUA","current_timestamp"
"2235583","OUD","ESU","OUDESU","current_timestamp"
"2235584","LON","VCE","LONVCE","current_timestamp"
"2235585","HAJ","OUA","HAJOUA","current_timestamp"
"2235586","CMN","WEF","CMNWEF","current_timestamp"
"2235587","LIG","RAK","LIGRAK","current_timestamp"
"2235588","DOH","LPA","DOHLPA","current_timestamp"
"2235589","MRU","BGF","MRUBGF","current_timestamp"
"2235590","BCN","DEL","BCNDEL","current_timestamp"
"2235591","BPN","ROB","BPNROB","current_timestamp"
"2235592","BCN","EZE","BCNEZE","current_timestamp"
"2235593","LAS","OUA","LASOUA","current_timestamp"
"2235594","DXB","GVA","DXBGVA","current_timestamp"
"2235595","NSI","CPH","NSICPH","current_timestamp"
"2235596","CDG","PMO","CDGPMO","current_timestamp"
"2235597","PER","TFN","PERTFN","current_timestamp"
"2235599","AGA","AUH","AGAAUH","current_timestamp"
"2235600","ABJ","MXP","ABJMXP","current_timestamp"
"2235601","CAI","DSS","CAIDSS","current_timestamp"
"2235602","TPA","STR","TPASTR","current_timestamp"
"2235603","ZWS","VIL","ZWSVIL","current_timestamp"
"2235604","YMQ","LFW","YMQLFW","current_timestamp"
"2235605","PTY","CMN","PTYCMN","current_timestamp"
"2235606","DOH","MCT","DOHMCT","current_timestamp"
"2235607","TUN","DAR","TUNDAR","current_timestamp"
"2235608","BGF","VLC","BGFVLC","current_timestamp"
"2235609","BJL","MNL","BJLMNL","current_timestamp"
"2235610","NSI","HOU","NSIHOU","current_timestamp"
"2235611","WVB","CMN","WVBCMN","current_timestamp"
"2235612","VIE","TNG","VIETNG","current_timestamp"
"2235613","AGA","ALC","AGAALC","current_timestamp"
"2235614","EZE","RBA","EZERBA","current_timestamp"
"2235615","ORY","CDG","ORYCDG","current_timestamp"
"2235616","LGW","LOS","LGWLOS","current_timestamp"
"2235617","CMB","LFW","CMBLFW","current_timestamp"
"2235618","EVN","LIS","EVNLIS","current_timestamp"
"2235619","TNG","MLA","TNGMLA","current_timestamp"
"2235620","GIB","CAN","GIBCAN","current_timestamp"
"2235621","NAP","NKC","NAPNKC","current_timestamp"
"2235622","LPA","TPA","LPATPA","current_timestamp"
"2235623","EUN","ZAG","EUNZAG","current_timestamp"
"2235624","OUD","DJE","OUDDJE","current_timestamp"
"2235625","YTZ","TNG","YTZTNG","current_timestamp"
"2235626","YHZ","ACC","YHZACC","current_timestamp"
"2235627","VER","MAD","VERMAD","current_timestamp"
"2235628","NSI","RBA","NSIRBA","current_timestamp"
"2235629","ABJ","KTA","ABJKTA","current_timestamp"
"2235630","BJL","NAS","BJLNAS","current_timestamp"
"2235631","LNZ","LOS","LNZLOS","current_timestamp"
"2235632","PIT","LOS","PITLOS","current_timestamp"
"2235633","ALG","VVI","ALGVVI","current_timestamp"
"2235634","AVN","NKC","AVNNKC","current_timestamp"
"2235635","DKR","LPA","DKRLPA","current_timestamp"
"2235636","FIH","NIM","FIHNIM","current_timestamp"
"2235637","GSO","CMN","GSOCMN","current_timestamp"
"2235638","CLT","SVQ","CLTSVQ","current_timestamp"
"2235639","TRN","DSS","TRNDSS","current_timestamp"
"2235640","LHE","ROB","LHEROB","current_timestamp"
"2235641","OUA","TUN","OUATUN","current_timestamp"
"2235642","BZV","RAI","BZVRAI","current_timestamp"
"2235643","SHJ","OUD","SHJOUD","current_timestamp"
"2235644","BRI","RAK","BRIRAK","current_timestamp"
"2235645","BLQ","ORY","BLQORY","current_timestamp"
"2235646","TUN","BUF","TUNBUF","current_timestamp"
"2235647","KRK","ABJ","KRKABJ","current_timestamp"
"2235649","YVO","CAS","YVOCAS","current_timestamp"
"2235650","BTV","CAI","BTVCAI","current_timestamp"
"2235651","DSS","HND","DSSHND","current_timestamp"
"2235652","CAS","TUN","CASTUN","current_timestamp"
"2235653","NKC","SXB","NKCSXB","current_timestamp"
"2235654","PAR","IND","PARIND","current_timestamp"
"2235655","LOS","URY","LOSURY","current_timestamp"
"2235656","VCE","AMS","VCEAMS","current_timestamp"
"2235657","SGN","MUC","SGNMUC","current_timestamp"
"2235658","AGA","MUC","AGAMUC","current_timestamp"
"2235659","VCE","ORY","VCEORY","current_timestamp"
"2235660","DLA","YQB","DLAYQB","current_timestamp"
"2235661","MIA","RAK","MIARAK","current_timestamp"
"2235662","MXP","TLL","MXPTLL","current_timestamp"
"2235663","DCA","SVQ","DCASVQ","current_timestamp"
"2235664","NIM","ORY","NIMORY","current_timestamp"
"2235665","HGH","CKY","HGHCKY","current_timestamp"
"2235666","AMS","ALG","AMSALG","current_timestamp"
"2235667","AGA","ROB","AGAROB","current_timestamp"
"2235668","STO","RAK","STORAK","current_timestamp"
"2235669","LAX","ACC","LAXACC","current_timestamp"
"2235670","BWI","FIH","BWIFIH","current_timestamp"
"2235671","PMO","FEZ","PMOFEZ","current_timestamp"
"2235672","INV","TNG","INVTNG","current_timestamp"
